Test,Type,Sensitivity,Sens_CI,Specificity,Spec_CI,sens,spec,sens_pct,spec_pct,sensLCL,specLCL,sensUCL,specUCL,N,sens_and_CI,spec_and_CI,testType
Abbott-Al,IgG,100% (34/34),(89.9%; 100%),99% (99/100),(94.6%; 99.8%),1,0.99,100.0,99.0,0.899,0.946,1,0.998,34;100,"100.0 (   89.9,  100.0)","99.0 (   94.6,   99.8)",G
Abbott-Ar,IgG,100% (88/88),(95.8%; 100%),99.6% (1066/1070),(99%; 99.9%),1,0.996,100.0,99.6,0.958,0.99,1,0.999,88;1070,"100.0 (   95.8,  100.0)","99.6 (   99.0,   99.9)",G
Abbott-AdvDxAl,IgM,95.0% (38/40),(83.5%; 98.6%),99.6% (2972/2985),(99.3%; 99.7%),0.95,0.996,95.0,99.6,0.835,0.993,0.986,0.997,40;2985,"95.0 (   83.5,   98.6)","99.6 (   99.3,   99.7)",M
Abbott-AdviseDxAr,IgM,95.0% (38/40),(83.5%; 98.6%),99.6% (2952/2965),(99.3%; 99.7%),0.95,0.996,95.0,99.6,0.835,0.993,0.986,0.997,40;2965,"95.0 (   83.5,   98.6)","99.6 (   99.3,   99.7)",M
AccessBio,IgM,89.1% (57/64),(79.1%; 94.6%),99.5% (181/182),(97.0%; 99.9%),0.891,0.995,89.1,99.5,0.791,0.97,0.946,0.999,64;182,"89.1 (   79.1,   94.6)","99.5 (   97.0,   99.9)",M
AccessBio,IgG,96.9% (62/64),(89.3%; 99.1%),99.5% (181/182),(97.0%; 99.9%),0.969,0.995,96.9,99.5,0.893,0.97,0.991,0.999,64;182,"96.9 (   89.3,   99.1)","99.5 (   97.0,   99.9)",G
AccessBio,Combined,98.4% (63/64),(91.7%; 99.7%),98.9% (180/182),(96.1%; 99.7%),0.984,0.989,98.4,98.9,0.917,0.961,0.997,0.997,64;182,"98.4 (   91.7,   99.7)","98.9 (   96.1,   99.7)",C
AssureTech,IgM,100% (30/30),(88.7%; 100%),98.8% (79/80),(93.3%; 99.8%),1,0.988,100.0,98.8,0.887,0.933,1,0.998,30;80,"100.0 (   88.7,  100.0)","98.8 (   93.3,   99.8)",M
AssureTech,IgG,90.0% (27/30),(74.4%; 96.5%),100% (80/80),(95.4%; 100%),0.9,1,90.0,100.0,0.744,0.954,0.965,1,30;80,"90.0 (   74.4,   96.5)","100.0 (   95.4,  100.0)",G
AssureTech,Combined,100% (30/30),(88.7%; 100%),98.8% (79/80),(93.3%; 99.8%),1,0.988,100.0,98.8,0.887,0.933,1,0.998,30;80,"100.0 (   88.7,  100.0)","98.8 (   93.3,   99.8)",C
Autobio,Combined,88.1% (357/405),(84.6%; 90.9%),99% (309/312),(97.2%; 99.7%),0.881,0.99,88.1,99.0,0.846,0.972,0.909,0.997,405;312,"88.1 (   84.6,   90.9)","99.0 (   97.2,   99.7)",C
Babson,IgG,100% (29/29),(88.3%; 100%),100% (100/100),(96.3%; 100%),1,1,100.0,100.0,0.883,0.963,1,1,29;100,"100.0 (   88.3,  100.0)","100.0 (   96.3,  100.0)",G
BeckmanCoulter,IgG,96.8% (92/95),(91.1%; 98.9%),99.6% (1395/1400),(99.2%; 99.8%),0.968,0.996,96.8,99.6,0.911,0.992,0.989,0.998,95;1400,"96.8 (   91.1,   98.9)","99.6 (   99.2,   99.8)",G
BeckmanCoulter,IgM,96.7% (146/151),(92.5%; 98.6%),99.9% (1398/1400),(99.5%; 100%),0.967,0.999,96.7,99.9,0.925,0.995,0.986,1,151;1400,"96.7 (   92.5,   98.6)","99.9 (   99.5,  100.0)",M
Beijing Wantai ELISA,Pan-Ig,96.7% (29/30),(83.3%; 99.4%),97.5% (78/80),(91.3%; 99.3%),0.967,0.975,96.7,97.5,0.833,0.913,0.994,0.993,30;80,"96.7 (   83.3,   99.4)","97.5 (   91.3,   99.3)",P
Beijing Wantai Rapid,Pan-Ig,100% (30/30),(88.7%; 100%),98.8% (79/80),(93.3%; 99.8%),1,0.988,100.0,98.8,0.887,0.933,1,0.998,30;80,"100.0 (   88.7,  100.0)","98.8 (   93.3,   99.8)",P
Bio-Rad_Platelia,Pan-Ig,98.0% (49/50),(89.5%; 99.6%),99.3% (596/600),(98.3%; 99.7%),0.98,0.993,98.0,99.3,0.895,0.983,0.996,0.997,50;600,"98.0 (   89.5,   99.6)","99.3 (   98.3,   99.7)",P
BioCan,IgM,90.0% (27/30),(74.4%; 96.5%),98.7% (78/79),(93.2%; 99.8%),0.9,0.987,90.0,98.7,0.744,0.932,0.965,0.998,30;79,"90.0 (   74.4,   96.5)","98.7 (   93.2,   99.8)",M
BioCan,IgG,93.3% (28/30),(78.7%; 98.2%),96.2% (76/79),(89.4%; 98.7%),0.933,0.962,93.3,96.2,0.787,0.894,0.982,0.987,30;79,"93.3 (   78.7,   98.2)","96.2 (   89.4,   98.7)",G
BioCan,Combined,93.3% (28/30),(78.7%; 98.2%),96.2% (76/79),(89.4%; 98.7%),0.933,0.962,93.3,96.2,0.787,0.894,0.982,0.987,30;79,"93.3 (   78.7,   98.2)","96.2 (   89.4,   98.7)",C
BioCheck,IgM,95.5% (105/110),(89.8%; 98.0%),97.2% (139/143),(93.0%; 98.9%),0.955,0.972,95.5,97.2,0.898,0.93,0.98,0.989,110;143,"95.5 (   89.8,   98.0)","97.2 (   93.0,   98.9)",M
BioCheck,IgG,99.1% (109/110),(95.0%; 99.8%),100% (143/143),(97.4%; 100%),0.991,1,99.1,100.0,0.95,0.974,0.998,1,110;143,"99.1 (   95.0,   99.8)","100.0 (   97.4,  100.0)",G
